Name of Initiative,Organization Name,Location 1,State,Category,Unique ID,State Based
Maryland Total Cost of Care Model,"Vel Natesan, MD PA","951 Mount Hermon Road Ste. A Salisbury, MD (38.36802, -75.576391)",MD,State & Community-Based Models,103,
Maryland Total Cost of Care Model,UM Community Medical Group at Shipley,"8601 Veterans Hwy Ste 111 Millersville, MD (39.092914, -76.623241)",MD,State & Community-Based Models,104,
Maryland Total Cost of Care Model,UM Community Medical Group at Pasadena,"3708 Mountain Rd Pasadena, MD (39.123662, -76.524775)",MD,State & Community-Based Models,105,
Maryland Total Cost of Care Model,UMC MG Primary Care North,"7845 Oakwood Rd Ste 204 Glen Burnie, MD (39.140912, -76.618382)",MD,State & Community-Based Models,106,
Maryland Total Cost of Care Model,UM Community Medical Group Adult and Senior Care,"8601 Veterans Hwy Ste 200 Millersville, MD (39.092914, -76.623241)",MD,State & Community-Based Models,107,
Maryland Total Cost of Care Model,Adventist Medical Group Colesville - Primary Care,"8807 Colesville Rd #2 Silver Spring, MD (38.99935, -77.025986)",MD,State & Community-Based Models,108,
Maryland Total Cost of Care Model,Carroll Primary Care - Westminster,"912 Washington Rd Westminster, MD (39.548522, -76.99179)",MD,State & Community-Based Models,109,
Maryland Total Cost of Care Model,Johns Hopkins Community Physicians at Green Spring Station,"2360 W Joppa Rd Ste 306 Lutherville, MD (39.418685, -76.668632)",MD,State & Community-Based Models,110,
Maryland Total Cost of Care Model,"Andrew S. Dobin, M.D., PA","4175 N Hanson Ct Ste 302A Bowie, MD (38.946621, -76.720177)",MD,State & Community-Based Models,111,
Maryland Total Cost of Care Model,Westminster Internal Medicine,"295 Stoner Ave Ste 305 Westminster, MD (39.559445, -76.987704)",MD,State & Community-Based Models,112,
Maryland Total Cost of Care Model,Johns Hopkins Community Physicians at North Bethesda,"6000 Executive Blvd Ste 625 North Bethesda, MD (39.048673, -77.120226)",MD,State & Community-Based Models,113,
Maryland Total Cost of Care Model,Johns Hopkins Community Physicians at Montgomery,"14955 Shady Grove Road Rockville, MD (39.099887, -77.192125)",MD,State & Community-Based Models,114,
Maryland Total Cost of Care Model,CHG - Westminster,"826 Washington Rd Ste 120 Westminster, MD (39.551076, -76.990771)",MD,State & Community-Based Models,115,
Maryland Total Cost of Care Model,"Airpark Primary Care, LLC","125 Airport Dr Unit 34 Westminster, MD (39.606635, -76.999159)",MD,State & Community-Based Models,116,
Maryland Total Cost of Care Model,Johns Hopkins Community Physicians at Annapolis,"137 Mitchells Chance Rd Ste 180 Edgewater, MD (38.928092, -76.562277)",MD,State & Community-Based Models,117,
Maryland Total Cost of Care Model,Calvert Internal Medicine Group - Prince Frederick,"985 Prince Frederick Blvd Ste 201 Prince Frederick, MD (38.555462, -76.60149)",MD,State & Community-Based Models,118,
